Airport Details:

airport_code, city, population
'LAX', 'Los Angeles, CA', 3976322,
'SFO', 'San Francisco, CA', 873965,
'RDM', 'Bend, OR', 105118,
'PDX', 'Portland, OR', 654741,
'JFK', 'New York, NY', 8336817

-------------------------------------------------
Route details:

route_id, origin_airport, destination_airport, distance) VALUES
(1, 'LAX', 'SFO', 337),
(2, 'SFO', 'LAX', 337),
(3, 'PDX', 'RDM', 116),
(4, 'SFO', 'RDM', 462),
(5, 'LAX', 'JFK', 2475),
(6, 'JFK', 'LAX', 2475)

MonthlyFlightStats:

stat_id, route_id, fly_date, flights, passengers, seats) VALUES
(1, 1, '2000-01-01', 100, 15000, 20000),
(2, 1, '2000-02-01', 100, 15000, 20000),
(3, 1, '2000-03-01', 100, 15000, 20000),
(4, 1, '2000-06-01', 120, 18000, 24000),
(5, 1, '2000-07-01', 130, 19500, 26000),
(6, 1, '2000-08-01', 130, 19500, 26000),
(7, 1, '2001-01-01', 110, 16500, 22000),
(8, 1, '2001-02-01', 110, 16500, 22000),
(9, 1, '2001-03-01', 110, 16500, 22000),
(10, 1, '2001-06-01', 132, 19800, 26400),
(11, 1, '2001-07-01', 143, 21450, 28600),
(12, 1, '2001-08-01', 143, 21450, 28600),
(13, 1, '2002-01-01', 120, 18000, 24000),
(14, 1, '2002-02-01', 120, 18000, 24000),
(15, 1, '2002-03-01', 120, 18000, 24000),
(16, 1, '2002-06-01', 145, 21750, 29000),
(17, 1, '2002-07-01', 157, 23550, 31400),
(18, 1, '2002-08-01', 157, 23550, 31400),
(19, 2, '2000-01-01', 100, 15000, 20000),
(20, 2, '2000-02-01', 100, 15000, 20000),
(21, 2, '2000-03-01', 100, 15000, 20000),
(22, 2, '2000-06-01', 120, 18000, 24000),
(23, 2, '2000-07-01', 130, 19500, 26000),
(24, 2, '2000-08-01', 130, 19500, 26000),
(25, 2, '2001-01-01', 110, 16500, 22000),
(26, 2, '2001-02-01', 110, 16500, 22000),
(27, 2, '2001-03-01', 110, 16500, 22000),
(28, 2, '2001-06-01', 132, 19800, 26400),
(29, 2, '2001-07-01', 143, 21450, 28600),
(30, 2, '2001-08-01', 143, 21450, 28600),
(31, 2, '2002-01-01', 120, 18000, 24000),
(32, 2, '2002-02-01', 120, 18000, 24000),
(33, 2, '2002-03-01', 120, 18000, 24000),
(34, 2, '2002-06-01', 145, 21750, 29000),
(35, 2, '2002-07-01', 157, 23550, 31400),
(36, 2, '2002-08-01', 157, 23550, 31400),
(37, 3, '2000-01-01', 60, 6000, 9000),
(38, 3, '2000-02-01', 60, 6000, 9000),
(39, 3, '2000-03-01', 60, 6000, 9000),
(40, 3, '2001-01-01', 65, 6500, 9750),
(41, 3, '2001-02-01', 65, 6500, 9750),
(42, 3, '2001-03-01', 65, 6500, 9750),
(43, 3, '2002-01-01', 70, 7000, 10500),
(44, 3, '2002-02-01', 70, 7000, 10500),
(45, 3, '2002-03-01', 70, 7000, 10500),
(46, 4, '2000-01-01', 30, 3000, 4500),
(47, 4, '2000-02-01', 30, 3000, 4500),
(48, 4, '2000-03-01', 30, 3000, 4500),
(49, 4, '2001-01-01', 32, 3200, 4800),
(50, 4, '2001-02-01', 32, 3200, 4800),
(51, 4, '2001-03-01', 32, 3200, 4800),
(52, 4, '2002-01-01', 35, 3500, 5250),
(53, 4, '2002-02-01', 35, 3500, 5250),
(54, 4, '2002-03-01', 35, 3500, 5250),
(55, 5, '2000-01-01', 50, 5000, 12500),
(56, 5, '2000-02-01', 50, 5000, 12500),
(57, 5, '2000-03-01', 50, 5000, 12500),
(58, 5, '2001-01-01', 40, 4000, 10000),
(59, 5, '2001-02-01', 40, 4000, 10000),
(60, 5, '2001-03-01', 40, 4000, 10000),
(61, 5, '2002-01-01', 30, 3000, 7500),
(62, 5, '2002-02-01', 30, 3000, 7500),
(63, 5, '2002-03-01', 30, 3000, 7500),
(64, 6, '2000-01-01', 50, 5000, 12500),
(65, 6, '2000-02-01', 50, 5000, 12500),
(66, 6, '2000-03-01', 50, 5000, 12500),
(67, 6, '2001-01-01', 40, 4000, 10000),
(68, 6, '2001-02-01', 40, 4000, 10000),
(69, 6, '2001-03-01', 40, 4000, 10000),
(70, 6, '2002-01-01', 30, 3000, 7500),
(71, 6, '2002-02-01', 30, 3000, 7500),
(72, 6, '2002-03-01', 30, 3000, 7500)
